index,Cognitively Normal Typical fALFF,Substantia Nigra Right Cognitively Normal,SN Cos Sim,SN Absolute Difference,Mean Absolute Difference
Frontal Pole,0.0114322932234166,0.0094583372295509,0.9955654911747054,0.001973955993865701,0.0009128621362494444
Insular Cortex,0.0105191762175778,0.0094583372295509,0.9985930819285255,0.0010608389880268996,2.5486958935699855e-07
Superior Frontal Gyrus,0.0105591034221715,0.0094583372295509,0.998491450819821,0.0011007661926205996,3.967233500434299e-05
Middle Frontal Gyrus,0.0108519023521119,0.0094583372295509,0.9976543441368881,0.0013935651225610007,0.0003324712649447441
"Inferior Frontal Gyrus, pars triangularis",0.0114936347466709,0.0094583372295509,0.9953149353823108,0.0020352975171199997,0.0009742036595037432
"Inferior Frontal Gyrus, pars opercularis",0.0107717100133961,0.0094583372295509,0.9978992130284539,0.0013133727838452007,0.0002522789262289441
Precentral Gyrus,0.0119371964927864,0.0094583372295509,0.9933551996423979,0.002478859263235501,0.0014177654056192444
Temporal Pole,0.0089055992597077,0.0094583372295509,0.9995473296260664,0.0005527379698431999,0.0016138318274594565
"Superior Temporal Gyrus, anterior division",0.0096786202214741,0.0094583372295509,0.9999337565413475,0.0002202829919232003,0.0008408108656930563
"Superior Temporal Gyrus, posterior division",0.0102280500268434,0.0094583372295509,0.9992365197864057,0.0007697127972924999,0.0002913810603237567
"Middle Temporal Gyrus, anterior division",0.0110341631379307,0.0094583372295509,0.9970564209422452,0.0015758259083797996,0.0005147320507635431
"Middle Temporal Gyrus, posterior division",0.0105135163271684,0.0094583372295509,0.9986072358641875,0.0010551790976175007,5.914759998755861e-06
"Middle Temporal Gyrus, temporooccipital part",0.0096079860069183,0.0094583372295509,0.9999691991726682,0.0001496487773674001,0.0009114450802488565
"Inferior Temporal Gyrus, anterior division",0.0104479965279118,0.0094583372295509,0.9987664558453699,0.0009896592983609006,7.1434559255356e-05
"Inferior Temporal Gyrus, posterior division",0.0102075397400682,0.0094583372295509,0.9992751145274222,0.0007492025105172995,0.0003118913470989571
"Inferior Temporal Gyrus, temporooccipital part",0.0105779938326496,0.0094583372295509,0.9984422863879661,0.0011196566030986996,5.856274548244299e-05
Postcentral Gyrus,0.0125441515901544,0.0094583372295509,0.99030793722261,0.0030858143606034994,0.002024720502987243
Superior Parietal Lobule,0.0110777583322261,0.0094583372295509,0.9969051892047651,0.001619421102675201,0.0005583272450589444
"Supramarginal Gyrus, anterior division",0.0116894357196869,0.0094583372295509,0.9944808627597868,0.0022310984901360003,0.0011700046325197437
"Supramarginal Gyrus, posterior division",0.0118683054460618,0.0094583372295509,0.9936756999218639,0.0024099682165108997,0.001348874358894643
Angular Gyrus,0.0108974707537735,0.0094583372295509,0.9975101616672803,0.0014391335242225998,0.0003780396666063432
"Lateral Occipital Cortex, superior division",0.0109157107902903,0.0094583372295509,0.9974514426143644,0.0014573735607394007,0.00039627970312314416
"Lateral Occipital Cortex, inferior division",0.0119930977267051,0.0094583372295509,0.9930910482679829,0.0025347604971542002,0.0014736666395379436
Intracalcarine Cortex,0.012562228196853,0.0094583372295509,0.9902115769169196,0.003103890967302101,0.0020427971096858445
Frontal Medial Cortex,0.011677237991257,0.0094583372295509,0.9945343019164469,0.0022189007617061003,0.0011578069040898437
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.0109642841189117,0.0094583372295509,0.9972923055876429,0.0015059468893607996,0.000444853031744543
Subcallosal Cortex,0.0104367242491178,0.0094583372295509,0.998792981458942,0.0009783870195669009,8.27068380493557e-05
Paracingulate Gyrus,0.0107601873266554,0.0094583372295509,0.9979334534881537,0.0013018500971045,0.00024075623948824343
"Cingulate Gyrus, anterior division",0.0090559789532479,0.0094583372295509,0.9997639376491495,0.0004023582763029998,0.0014634521339192564
"Cingulate Gyrus, posterior division",0.0114872828353467,0.0094583372295509,0.9953411244668212,0.0020289456057957997,0.0009678517481795431
Precuneous Cortex,0.0125399059242785,0.0094583372295509,0.9903305262448105,0.0030815686947276,0.0020204748371113433
Cuneal Cortex,0.009297047046037,0.0094583372295509,0.9999630248575997,0.00016129018351389995,0.0012223840411301565
Frontal Orbital Cortex,0.0108821703346553,0.0094583372295509,0.9975589754239871,0.0014238331051044002,0.00036273924748814364
"Parahippocampal Gyrus, anterior division",0.0097720348692642,0.0094583372295509,0.9998669758578896,0.00031369763971329963,0.000747396217902957
"Parahippocampal Gyrus, posterior division",0.0099040246311961,0.0094583372295509,0.9997351856485107,0.0004456874016451999,0.0006154064559710567
Lingual Gyrus,0.0117296112756316,0.0094583372295509,0.9943035020534353,0.0022712740460807002,0.0012101801884644436
"Temporal Fusiform Cortex, anterior division",0.0095645856963856,0.0094583372295509,0.9999844026545623,0.00010624846683470086,0.0009548453907815557
"Temporal Fusiform Cortex, posterior division",0.0101535575371515,0.0094583372295509,0.9993722789083657,0.0006952203076005994,0.0003658735500156572
Temporal Occipital Fusiform Cortex,0.0107674119525414,0.0094583372295509,0.9979120130355412,0.0013090747229904994,0.0002479808653742428
Occipital Fusiform Gyrus,0.0106875530326826,0.0094583372295509,0.9981437230195279,0.0012292158031317005,0.00016812194551544396
Frontal Opercular Cortex,0.0097708914784414,0.0094583372295509,0.9998679279116804,0.00031255424889049983,0.0007485396087257568
Central Opercular Cortex,0.0108106361114921,0.0094583372295509,0.997781778224433,0.0013522988819412007,0.0002912050243249441
Parietal Opercular Cortex,0.0103532234558667,0.0094583372295509,0.9989813984811788,0.0008948862263158004,0.00016620763130045617
Planum Polare,0.0097485104059588,0.0094583372295509,0.9998858967504319,0.0002901731764078999,0.0007709206812083567
Heschl's Gyrus (includes H1 and H2),0.0101153277466103,0.0094583372295509,0.9994371701351974,0.0006569905170594002,0.00040410334055685643
Planum Temporale,0.0109469043801501,0.0094583372295509,0.9973497051282134,0.0014885671505991994,0.00042747329298294286
Supracalcarine Cortex,0.0084950447810373,0.0094583372295509,0.9985636598666462,0.0009632924485136005,0.002024386306129857
Occipital Pole,0.0102723043938271,0.0094583372295509,0.9991501398806877,0.0008139671642762008,0.0002471266933400558
Left Cerebral White Matter,0.0117288757374155,0.0094583372295509,0.9943067676623827,0.0022705385078646,0.0012094446502483435
Left Cerebral Cortex,0.0115680655028771,0.0094583372295509,0.9950039253053111,0.0021097282733262,0.0010486344157099436
Left Lateral Ventricle,0.0104339251800506,0.0094583372295509,0.9987995283314064,0.0009755879504996998,8.550590711655683e-05
Left Thalamus,0.0099849056735522,0.0094583372295509,0.9996334751381968,0.0005265684440013008,0.0005345254136149558
Left Caudate,0.0106302131549069,0.0094583372295509,0.9983028143218557,0.0011718759253559995,0.00011078206773974288
Left Putamen,0.0114168348864365,0.0094583372295509,0.9956277955331145,0.0019584976568855997,0.0008974037992693432
Left Pallidum,0.0100205107457135,0.0094583372295509,0.999583789502223,0.0005621735161625997,0.0004989203414536569
Brain-Stem,0.0114473409896446,0.0094583372295509,0.9955045161734986,0.0019890037600936994,0.0009279099024774428
Left Hippocampus,0.0098932609733689,0.0094583372295509,0.9997475368048998,0.0004349237438180005,0.0006261701137982561
Left Amygdala,0.0101572500898938,0.0094583372295509,0.9993658380752473,0.0006989128603429005,0.00036218099727335605
Left Accumbens,0.0101455805054859,0.0094583372295509,0.9993860893182798,0.0006872432759349994,0.0003738505816812572
Right Cerebral White Matter,0.0121038408259805,0.0094583372295509,0.9925572779850229,0.0026455035964296006,0.001584409738813344
Right Cerebral Cortex,0.0112505387050745,0.0094583372295509,0.9962760879336285,0.0017922014755235999,0.0007311076179073433
Right Lateral Ventricle,0.0094289387793467,0.0094583372295509,0.999998788622692,2.9398450204200233e-05,0.0010904923078204568
Right Thalamus,0.0097477819709975,0.0094583372295509,0.9998864602005791,0.0002894447414466001,0.0007716491161696565
Right Caudate,0.0095791705863042,0.0094583372295509,0.9999798576390588,0.00012083335675329952,0.0009402605008629571
Right Putamen,0.0101182953511718,0.0094583372295509,0.9994322504460408,0.0006599581216208995,0.00040113573599535705
Right Pallidum,0.0084422983313924,0.0094583372295509,0.9983930367422849,0.0010160388981584993,0.002077132755774756
Right Hippocampus,0.0104828833911376,0.0094583372295509,0.9986827420993805,0.0010245461615867,3.654769602955653e-05
Right Amygdala,0.0103382843439738,0.0094583372295509,0.9990135887308489,0.0008799471144229007,0.0001811467431933559
Right Accumbens,0.0084541360810422,0.0094583372295509,0.9984322454012113,0.0010042011485086998,0.0020652950061249564
Substantia Nigra Right,0.0094583372295509,0.0094583372295509,1.0000000000000002,0.0,0.0010610938576162566
Substantia Nigra Left,0.007541257521252,0.0094583372295509,0.9937012439157976,0.0019170797082989,0.0029781735659151565
